"","date","price"
"1",2020-01-06,2.494
"2",2020-01-13,2.482
"3",2020-01-20,2.448
"4",2020-01-27,2.412
"5",2020-02-03,2.358
"6",2020-02-10,2.324
"7",2020-02-17,2.337
"8",2020-02-24,2.373
"9",2020-03-02,2.324
"10",2020-03-09,2.272
"11",2020-03-16,2.139
"12",2020-03-23,2.007
"13",2020-03-30,1.886
"14",2020-04-06,1.8
"15",2020-04-13,1.735
"16",2020-04-20,1.694
"17",2020-04-27,1.655
"18",2020-05-04,1.68
"19",2020-05-11,1.75
"20",2020-05-18,1.776
"21",2020-05-25,1.87
"22",2020-06-01,1.883
"23",2020-06-08,1.947
"24",2020-06-15,2.017
"25",2020-06-22,2.048
"26",2020-06-29,2.094
"27",2020-07-06,2.1
"28",2020-07-13,2.113
"29",2020-07-20,2.099
"30",2020-07-27,2.085
"31",2020-08-03,2.085
"32",2020-08-10,2.078
"33",2020-08-17,2.077
"34",2020-08-24,2.09
"35",2020-08-31,2.135
"36",2020-09-07,2.122
"37",2020-09-14,2.091
"38",2020-09-21,2.078
"39",2020-09-28,2.088
"40",2020-10-05,2.091
"41",2020-10-12,2.084
"42",2020-10-19,2.064
"43",2020-10-26,2.053
"44",2020-11-02,2.021
"45",2020-11-09,2.004
"46",2020-11-16,2.018
"47",2020-11-23,2.009
"48",2020-11-30,2.022
"49",2020-12-07,2.063
"50",2020-12-14,2.063
"51",2020-12-21,2.137
"52",2020-12-28,2.158
"53",2021-01-04,2.16
"54",2021-01-11,2.232
"55",2021-01-18,2.285
"56",2021-01-25,2.298
"57",2021-02-01,2.316
"58",2021-02-08,2.372
"59",2021-02-15,2.409
"60",2021-02-22,2.549
"61",2021-03-01,2.625
"62",2021-03-08,2.684
"63",2021-03-15,2.766
"64",2021-03-22,2.78
"65",2021-03-29,2.771
"66",2021-04-05,2.777
"67",2021-04-12,2.763
"68",2021-04-19,2.767
"69",2021-04-26,2.776
"70",2021-05-03,2.79
"71",2021-05-10,2.86
"72",2021-05-17,2.928
"73",2021-05-24,2.92
"74",2021-05-31,2.927
"75",2021-06-07,2.935
"76",2021-06-14,2.97
"77",2021-06-21,2.961
"78",2021-06-28,2.99
"79",2021-07-05,3.032
"80",2021-07-12,3.039
"81",2021-07-19,3.061
"82",2021-07-26,3.044
"83",2021-08-02,3.059
"84",2021-08-09,3.081
"85",2021-08-16,3.079
"86",2021-08-23,3.048
"87",2021-08-30,3.041
"88",2021-09-06,3.08
"89",2021-09-13,3.068
"90",2021-09-20,3.094
"91",2021-09-27,3.08
"92",2021-10-04,3.093
"93",2021-10-11,3.173
"94",2021-10-18,3.225
"95",2021-10-25,3.279
"96",2021-11-01,3.28
"97",2021-11-08,3.294
"98",2021-11-15,3.277
"99",2021-11-22,3.271
"100",2021-11-29,3.253
"101",2021-12-06,3.204
"102",2021-12-13,3.178
"103",2021-12-20,3.154
"104",2021-12-27,3.136
"105",2022-01-03,3.141
"106",2022-01-10,3.164
"107",2022-01-17,3.182
"108",2022-01-24,3.199
"109",2022-01-31,3.249
"110",2022-02-07,3.33
"111",2022-02-14,3.372
"112",2022-02-21,3.41
"113",2022-02-28,3.486
"114",2022-03-07,3.963
"115",2022-03-14,4.18
"116",2022-03-21,4.091
"117",2022-03-28,4.078
"118",2022-04-04,4.021
"119",2022-04-11,3.943
"120",2022-04-18,3.915
"121",2022-04-25,3.959
"122",2022-05-02,4.031
"123",2022-05-09,4.161
"124",2022-05-16,4.32
"125",2022-05-23,4.41
"126",2022-05-30,4.439
"127",2022-06-06,4.702
"128",2022-06-13,4.844
"129",2022-06-20,4.798
"130",2022-06-27,4.71
"131",2022-07-04,4.619
"132",2022-07-11,4.501
"133",2022-07-18,4.35
"134",2022-07-25,4.183
"135",2022-08-01,4.034
"136",2022-08-08,3.879
"137",2022-08-15,3.78
